acuerdo,agradecimiento,amenaza,ansiedad,compasión,culpa,decisión,definición,desesperación,destreza,esperanza,excusa,felicidad,ganancia,habilidad ,honestidad,obligación,obsesión,oportunidad,peligro,pensamiento,plan,razón,seguridad,sugerencia,verdad,éxito
['trato'],ver respetar,['incomodo'],estrés,['sentimiento'],['sentimiento'],elección,describir,aparecer ver alternativa resolver problema,afinidad,tener confianza,palabra servir tapar acto saber incorrecto,['emocional pleno'],['beneficio'],cualidad,['mucho gente'],deber,['manir'],['ventana poder lograr'],seguridad,['siempre constante'],['pensamiento'],['racional'],bienestar,consejo,honesto decir,['lograr']
['decisión conjunto'],venir respuesta ayuda alguien otorgar,['acecha'],generar problema largo,['llevar hacer acción alguien'],['humano'],constancia,personal,enfrenta desconocido,capacidad,creer alguno situacion saldra esperar,justificacion,"['vario persona persona', 'poder responder distinto objeto']",['utilidad'],medir capacidad,['dificil efectuar'],tener hacer si si,['padecer acumulador'],['esperanza'],poder ser considerado amenazar,['innato'],['razonamiento logico'],['característico'],sentimiento personal,dar él idea persona,mentir,['asaño']
['tomar desición'],dar gracias demostrar educacion básico,['presente'],afectar mental,['persona mas fria menos'],['suceder hicistir malo'],seguridad,depender punto visto cada,saber hacer salvar arreglar situación,presicion hacer,ultimo q perder,justificar,['sensación plenitud'],['ingreso'],persona contar,['buena persona'],desesperación,['cualidad'],['posibilidad'],tender reaccionar miedo,['razonamiento'],['planificacion previo'],['pensamiento'],querer sentir yo asi,opinion propio,asi,['bien']
['poder ser 1 mas participantr'],enseñar pequeño,['malo'],afectar eje hpa,['naturaleza humano'],['sentir mas'],asertividad,cosa mas complicado,mayoría observar mujer hombre,habilidad,relacion fe,decir salir aprieto,['emocional alegre'],['empresa mover tener él'],trabajar perfeccionar él,['cualidad'],querer hacer volutariamente,['llamar igual galleta costa parecer barquillo relleno'],['posibilidad surgir'],ansiedad,['consciente'],['ocurrir idea'],['hacer uso cada vez pensar'],chile perder,ayudar,poco persona hacer,['necesitar esfuerzo']
['tratado'],deberio mantener él traves tiempo,['cambiar actitud persona'],siempre aparecer estreado,"['producir internamente', 'espiritual']",['mal'],elegir forma informado,necesitar previo conocimiento,poder actuar irracional inconciente bajo efecto concepto,competencia,religion,evadir,['buen sentimiento dar resultado hecho positivo'],['presente finanzo economía'],gente discapacidad costar conseguir él,['fiel'],deber,['locura'],['posibilidad hacer siempre quisiste nunco podido'],adrenalinar,['cavilación'],['buscar lograr cierto objetivo'],['ser humano'],necesitar reja,aportar realizar trabajo,valorado,['poder lograr él']
['trato 2 persona'],generar animico positivo,['poder evitar'],provocar and desconcentrado,['buen'],"['poder durar', 'tiempo']",afirmar cierto posibilidad,hecho,emoción,habilidad,amor,evitar hacer,['similar alegría dar tras obtener hecho beneficioso'],['contador calcular'],capacidad hacer,['siempre deber existir relación pareja'],universitario dar prueba aunque gustar,['coleccionador'],['privilegiar poder demostrar habilidad capacidad solicitar'],malo,['hecho mental hacer recordar surgir idea nuevo'],['ayuda organizarcir'],"['argumentar', 'poder usar varios']",usar candado,acotación,mucho vez asociar persona directa palabra,['necesitar disposicion']
"['trato', 'promesa compromiso', 'par grupo individuo']",acción realizado querer atribuir acto hecho producir resultado beneficioso receptor,['cada persona diferente'],aparce entrar evaluación,['ayuda ser mas solidario'],['generalmente saciar él alguno accion'],certeza,servir entienda cierto cosa,angustioso,capacidad competir determinado área,renacer,mentir,['ánimo positivo beneficioso organismo'],['normalmente medir cantidad dinero'],existir tipo,['cualidad moral'],hacer compromiso persona cumplir él,"['consecuencia', 'poder traer rabir', 'ira descontrol persona']",['momento abrir espacio inclusión alguno concepto persona'],dañino,['generar acción profundizar alguno evento'],['poder ser varios persona solo'],['argumento'],proteccion par alguien,consejo,respuesta lógica,['aspirar']
['compromiso hecho mediante palabra'],acto dar gracias respecto,['poder escapar'],aparecer enfrenta nuevo,['ayuda pensar progimo'],['atacar mentalmente'],tener certeza realizar acción,ayuda comunicar yo,perder valioso entrar preocupación,decir concepto ver persona poseer habilidad determinado campo,pensar perdido abrir brecha,manipular informacion conveniencia,['excitado'],"['cantidad remuneración', 'dinero', 'tributo especie']",diferente cada persona,['ser transparente dema'],terea,['dependencia hacia objeto persona aunque hacer mal'],['privilegiar perfeccionarte determinado área'],poder salir perjudicado enfrentar,['común ver adulto tener acción frente futuro'],['hacer alguno'],['aspecto permitir tener pensamiento lógico'],policia protegen,idea podrio ser aceptado,esperar político siempre decir,['poder tener diferente significar cada persona']
['trato'],bondad,['disgusta sentir él'],asociado grande subida peso tiempo,['gente buen mas presente'],['terminar alivio'],tomar definición,necesitar observacion enterder,preocupación,práctica,perder nunca fe,efímero,['emocionado'],['dinero generado producto trabajo trueque'],si bueno desarrollado,['guardar él secreto'],poder ser impuesto persona voluntario,['asociado trastorno compulsivo'],['poder hacer'],adevertencia,['liga creatividad idea'],['poder ser buen'],"['aspecto permitir persona', 'saber bien mal']",país mas,recomendación,asociado confianza,['meta claro']
['negocio'],alegría situación persona,['peligro'],alterar nervio,['cualidad'],['angustiar'],tomar postura convicción,tender ser objetivo,usualmente persona pasar necesitar ayuda externa,talento,tener confianza ir suceder,aquel causa placer conformidad persona,['alegrio'],['ganar'],acción crear,['hablar siempre verdad'],voluntad,['gusto sobreexagerar determinado cosa'],['contexto hacer'],cuidado,['proceso interno mental'],['poder funcionar'],['logica'],carcel deber tener él,indicar buen camino,existir absoluto,['buscar objetivo personal']
['prosperidad económico'],cariño,['atacante'],producir daño colateral salud,['apiadar él'],['sentimiento decir indebido alguien'],elección,plasmar determinado concepto,situación ir allar limit persona producir ansiedad,estrezar él,certero situación,aquel provocar tranquilidad sentimiento alegría,['alegre'],['obtener beneficio'],destreza,"['expresar', 'preocupar él consecuencia traer dicer él']",responsabilidad,['desear exceso'],['perdonar'],amenazar,['yacer mente persona'],['anticipar'],['pensar'],proteccion,orientar,sinceridad,['cualidad']
['poder tener marco legal'],felicidad situación,['victima'],poder causar depresión,['dios cualidad'],['sentimiento presente obrar malo manera'],determinación,ampliación término entendimiento,ansiedad,desesperación,creencia,conseguir concretar sueño,['cuado persona hacer bueno'],['dinero obtener ser invertido objeto'],dominio,['acción decir verdad'],acción realizar manato jefeo superior,"['relación tormentosa hablar amor', 'sino transtorno']",['dejar persona volver realizar'],bajo alguno tipo riesgo,"['figuración mental respecto letra', 'objeto', 'persona', 'cosa', 'etc']",['tomar contar distinto factor'],['utilizar cada segundo'],sentir él seguro,ayudar,decir cosa franqueza,['lograr meta propuesta']
['reunión'],esperanza,['fin'],inseguro,['empatir'],['ligado arrepentimiento'],querer hacer,establecer límite,angustiar,pasciencia,promesa esperar cumplir alguno día,tranquilidad,['emocion'],['expresión dar comprar aun determinado precio vender valor muho mayor'],cualidad,['valor correspondiente alguien miente'],deber,['amar cosa'],['repetir'],poder ocurrir desgracia indeseado,['representación mental respecto alguien'],['buscar solucion frente algun problema'],['ayuda tomar decisión'],llevar preocupar él distinto situación,apoyar,aseveración,"['poder ser él persona', 'idea', 'proyecto', 'etc']"
['tratado'],ayuda recibido,['poder agredir'],angustiar grande,['apiádate favor'],['emocional previo búsqueda perdón'],definitivamente,significar palabra,perder control,habilidad desarrollado desarrollable tiempo,ilusión situación,fe,['sonrisa'],['obtener premio'],tener capacidad hacer,['ligado veracidad'],tarea hacer evitar malo,['soltar él nunca'],['mejorar hicistir principio'],inerperar,['idea'],['predisposicion accion'],['persona terco ir transar'],comodidad,dar idea saber si llevar cabo,certeza,['poder ser personal grupal']
['arreglo'],felicidad,['incitar violencia'],mental,['debilidad'],['sentimiento haber cometer acción saber incorrecto indebido'],tener mente,describir concepto,preocupado,habilidad,sentir bueno ir suceder,esperanza,['momento grato'],['obtener objeto cosa utiidad'],inteligente,['capacidad expresar interno complicado'],responsabilidad,['loco alguien'],['posible evento provechoso'],susto,['opinión'],['hacer creer'],['reflexión respecto cierto actitud'],sentir él protegido peligro,opinar alguno reunion,certidumbrir,['grandeza']
['comprometer él cierto condición'],sonreir,['perjudicar'],preocupación,['concepto lastimo'],['sentimiento remordimiento acto palabra dicho'],,lexico,esperanza,capacidad,fe,pretexto,['sonreir vida'],['aumento recurso'],dominio materia,['asocia persona directa'],acción deber hacer,['obsesiono comida especifico'],['situación posible ganancia'],acción desconocido,['modelo'],"['llevar cabo proyecto', 'primero deber hacer']",['dicernimientir respecto situación'],calma,solucion pensado anticipadamente algun suceso,decir mentira,['ser mejor hacer']
['compromiso'],animo,"['aviso acción poder gatillar reacción persona', 'generalmente negativo']",exitado,['lastimo'],['peso moral producto hecho incorrecto'],,explicar,alterar él resultar forma querer,talento,esperado pase,forma esquivar,['alegría'],['obtención'],técnica,['claridad'],imposicion,['cuidado'],['chance'],seguro,['imaginación'],['estrategia'],['poder elección'],tranquilidad,opinión,realidad,['vaya bien futuro']
['grupo idea común'],reconocer él hacer alguien,['advertencia acerca'],desesperado,['preocupacion'],['psicológico'],,entenderer comenzar,ansiedad,aptitud,ocurrir alguien enfermo recuperar,soler ser mentira,['dicho'],['mejor'],talento,['carácterístico personalidad dar persona verdadero acto palabra'],carácter extricto,['malo forma amar'],['posibilidad'],amenazar,['proceso cognitivo interno'],['crongrama'],['capacidad actuar persona situación vida'],protección,propuesta,opuesto falsedad,['esfuerzo']
['fin tratado dos parte mismo lado'],humildad,['posible situación peligro'],nervioso,['emocion congoja persona'],['después hacer correcto'],,concepto,tener ataque panico,cuan facil lograr,pedri,pretexto,['sient cosa salir bien'],['victoria comparación'],arte,['carácterístico dar persona cuyo palabra cohesión hecho'],norma,['querer cosa importar mas'],['aprovechar él'],cuidado,['resultado reflexion personal'],['curso acción'],['correcto'],autoestima retratado caminar hablar,persona proponer realiz acción presión,contrario mentiar,['acción conseguir lograr']
['consensir'],reconocimiento,['forma expresivo aminorar peligro'],inquieto suceda,['empatiar sufrimiento ajeno'],['después haber cometer alguno error'],,acuerdo,estrés,cuan rapir lograr,fe,prorrogar,['júbilo'],['resultado positivo'],don,['característico dar persona mentir actuan manera correcto respecto pensar'],deber,['desear mal trabajar'],['ventana'],precausión,['forma individual interpretacion'],['expresión dar necesitar conseguir'],['mental'],confianza,aclarar persona respecto tema manipular,ser real,['expresión dar ancalzado']
['tratado'],honestidad,['dejar alerta'],hiperactivo,['ser empático'],['responsable ocurrido'],,concenso,inquietud,habilidad,aliciente vendra mejor,palabra safar él alguien,['gozo'],['tener favor cambio vendido'],capacidad,['decir verdad'],acto impuesto alguien,"['querer si', 'importar consecuencia']",['ahí demostrar capacidad'],atención,['reflexion'],['palabra usado reunión concretar negocio'],"['pensamiento', 'mente']",contrario tener temor miedo,aclarar confusión,transparencia vida,['lograr objetivo']
['lograr punto comun'],capacidad crítica,['situación estresante'],volver él loco,['tener pena'],['falta'],,tomar decision,sensacion agobio extremo,capacidad hacer cosa,soñar cosa poder cambiar mejor,narracion hecho,['sonreír'],['quedar numero positivo inversion'],saber hacer,['ser transparente'],,['enfoque egoista desear'],['opcion'],malo,['idea interno'],['programa'],['capacidad pensar cosa'],confianza,orientar,decir actuar forma natural,['superar cumplir espectativa']
['unir pensamiento'],gratitud,['dejar inseguridad'],transpiracion,['sensible dolor ajeno'],['situación después delito'],,dar él termino idea,salida poder revertir él pesar esfuerzo,detallista,ultimo perder,justificacion,['sentimiento bonito'],['resultado gestion transaccional beneficioso'],ser bueno especìfico,['mentir'],,['dirigir atencion cosa persona luchar obtener él contratodo'],['tener alternativa'],reflejar reflejar mediante miedo,['idea'],['forma definido hacer'],['propio ser humano'],sensanción plenitud,,tergiversar cosa,['imagn soial positivo']
['trato'],gratitud,['desafío'],nervio,['hermandad'],['arrepentimiento'],,explicar caracteristica alguno plabar,atrapado,buen desempeño,confianza,,['sentir él bien'],['resultado positivo'],fuerte alguien,['bueno'],,['querer tener'],['chance frente cosa'],palabra utilizar anticipadamente realizar,['estructura cerebro'],['regla'],['hacer ser persona inteligente'],sensancion tranquilidad frentear situacion,,uso mascara omisión,['satisfacción haber lograr meta']
['arreglo'],sensacion tras recibir positivo,['violencia'],inseguridad,['empatir vertical'],['poder causar enfermedad mental'],,dar significar,intranquilidad poder resolver solucionar,inteligente,fé,,['sentimiento supremo'],['q obtener tras venta'],capacidad realizar alguno tarea,['gente admirado forma'],,['visio'],['abrir ventana vida'],concepto señalar vivir situacion llevar problema,['concepto mental'],['esquema'],['capacidad pensar'],resguardo,,decir cosa tapujo,['lograr realidad coincidir deseo']
['consentimiento'],gratitud,['prepotencia'],hacer doler estómago,['sentir pena poralgo alguien'],['ocultar respecto'],,dar idea objeto,palabra utilizar vivir situacion angustiar,habilidad realizar alguno actividad particular,motivación,,['unido amor'],['obtencion recurso'],lograr pràctico,['creer confianza'],,['ser incapaz dejar él'],['situacion poder arovechar'],sensacion miedo,['idea ocurrir'],['trazado'],['tener opnión veraz'],proteccion,,hecho cierto,['lograr meta pensado']
['contrato'],sentimiento positivo generar apor tú desinteresado persona,['poner nervioso'],hacer sudar,['fuerza llevar caridad'],['dar él contar error querer contar él'],,hablar forma constituir,emocion complicado,desempeño extraourdinario algun arte,mentalidad positivo,,['liberacion buena vibra alegrio'],['obstener personal'],,['traer beneficio'],,['siempre'],['posibilidad'],amenazar hacia vida,['rondar mente'],['acuerdo'],['tener claridad tema'],sentir él auxiliar,,hecho real,['fruto trabajo perseverancia']
['promesa'],emoción ocurrir pasar bueno,['riesgo'],desesperación,['sentimiento'],['sentimiento'],,explicar respecto tema específico conoz,reflejar cara asombro,relacionar inteligencia,resiliencia,,['alegrio'],['lograr'],,['político generalmente'],,['sentimiento'],['instancia deber ser aprovechado'],existir todo parte,['idea suceso mente compartir'],['set paso definidosen pos objetivo'],['tener concepto acertivo dialogo'],correr ningun riesgo,,real,['lograr cumplir objetivo']
['realizar pacto alguno persona particular'],dar gracias,['peligro'],sensación placentera,['conmueve'],['sujeto negligente'],,acotar,trastorno personalidad,inteligencia,expectativa bueno poder suceder,,['emocion positivo'],['financiamiento'],,['ladrón tampoco'],,['pensamiento recurrente'],['alternativa surgir inesperadamente prometer ser beneficioso'],gana gritar,['intangible'],['pensado'],['ser conciente'],atravesar burbujo personal,,honestidad,['culminacion lllevado cabo perfectamente']
['comprometer él alguien realizar'],dar regalo,"['dirigir palabra riesgo persona', 'opcion concretarlas']",suceder momento tenso emoción,['emociòn'],['responsable negativo'],,describir,fijación determinado,capacidad distinto común,resultado probable,,['sensación alegría'],,,['virtud'],,['apego'],['chanche'],,['capacidad cerebro crear estructurar concepto abstracto luego transforma concreto creer idea'],['preparado'],['estructura lógica pensamiento'],proteccion,,realidad ocurrido,"['llegar cima algun lugar', 'competenciau']"
['planificar'],sentimiento hacia alguien,['alerta'],reflejar animico intranquilo,['sentir làstima'],['sentimento negativo responsabilidad'],,decir objeto cosa,sentimiento,competencia,fé,,['gocir'],,,['honroso'],,,['ocasiòn perfecto'],,['idea'],['estrategia implementar conseguirun objetivo'],['idea'],peligro,,,['reflejar trinfo']
['realizar plan'],realizar favor alguien,['correr riesgo inminente'],necesidad querer desesperadamente,['pena alguno situaciòn'],['pensamiento rumiante minimizar autoestima'],,palabra clave identificar,sensacion escapar,capacidad,sentir tranquilidad ocurrirar esperar,,['satisfacción'],,,['cualidad persona generar confianza'],,,['momento apropiado'],,['motor grande trabajar través concepto aprendido generar respuesta'],['programación paso detallado lograr fin'],['permitir cercar él verdad'],salvo,,,['ganar']
['concenso'],responder favor alguien,['advertencia cierto grado violencia'],espectante recibir alguno noticia,['apiadar él alguien'],['tener responsabilidad sucedido'],,,persona poder tener él,lograr perserverancia,sentir él acertivo tarde temprano ocurrirar esperado,,['paz'],,,['transparencia'],,,['poder dejar pasar'],,['nucleo idea'],['camino seguir'],['base pensamiento lógico'],sentir él tranquilo,,,['lograr meta']
['igualdad'],,['asechir peligro'],desviar responsabilidad,['sentimiento'],['ser responsable hecho'],,,huir,existir diferente categoria,esperar forma seguro paciente necesitar,,['serenidad'],,,['verdad'],,,"['si dar', 'aprovechar']",,['abstracto'],['preparación'],['concepto fraccionario permitir hacer proporción'],protegido,,,['alguien vaya bien vida']
['ceder'],,['sentise desprotegido situación'],esuna forma defensa persona miedo,['tolerancia'],['ser participe acto'],,,correr,practicar continuo,creer suceder,,['contento'],,,['transparencia actuar'],,,,,['mundo filosofía'],['ser precavido'],['pensar actuar'],respaldado,,,['salir bien']
['quedar persona'],,,evitar situación exponer circunstancia x,['actitud'],['emocion generar tras cometer accion incorrecto'],,,miedo,caracteristico,fuerza ayuda sufrir,,['alegría'],,,['decir verdad'],,,,,['idea cabeza'],['organizado'],['pensar acto'],sensacion tranquilidad bienestar peligro,,,['ganador']
,,,ausencia,['empatir'],['sensacion malestar tras cometer error'],,,,,fe,,['entusiasmo'],,,['ser transparente'],,,,,['surgir cualquiera ocasiòn'],['adelantar él situación'],['meditar'],certeza confianza,,,['forma atraer felicidad']
,,,,,['sentimiento negativo'],,,,,pensamiento llegar,,['disfrutar'],,,['mente tranquilar'],,,,,,['accion inteligente'],['tener certeza'],obtener lejos cualquiera riesgo,,,['cumbre']
,,,,,['remordimiento'],,,,,tener fe,,['tranquilidad'],,,['sinceridad'],,,,,,['tener claro proyección'],['cordura'],comentario buscar ser apor tú positivo,,,['plenitud']
,,,,,['sentir él mal haber provocado efecto negativo'],,,,,creer ocurrirar,,['sentir él bien'],,,['transparencia'],,,,,,['buen desición'],['correcto'],indispensable favorecer optimizacion accion,,,['meta personal']
,,,,,['tener responsabilidad situación'],,,,,,,['verdad'],,,['frontalidad'],,,,,,['oganización'],['autoridad'],entrega favorecer resultado,,,['perserverancia']
,,,,,['sentir él responsable'],,,,,,,['inteligencia'],,,['ser mismo'],,,,,,['protocolo'],['pensar'],consejo buscar ser apor tú,,,['optimismo']
,,,,,['acción flagelante'],,,,,,,['experiencia'],,,['ser correcto'],,,,,,['algoritmo'],['saber'],sentise protegido situación vida,,,['lograr objetivo']
,,,,,['sentir saber cometer algun error'],,,,,,,['tener convicción poder ser bajo criterio bien mal fundamentar'],,,['decir verdad'],,,,,,['receta acto realizar lograr objetivo'],['conocimiento'],aquel acerca expresarte gratitud hicistir,,,
,,,,,['animico pensativo'],,,,,,,['tener cordura mente sano actuar'],,,['ser franco'],,,,,,['aticulacion paso paso fin alcanzar objetivo determinado'],['inteligencia'],retribución acto,,,
,,,,,['señalar alguien responsable'],,,,,,,['momento feliz'],,,['manipular informacion real cambiandolo erroneo'],,,,,,['procedimiento alcanzar fin'],['existencia'],empatir,,,
,,,,,,,,,,,,['contento'],,,['sinceridad'],,,,,,['maquinacion'],,tacto,,,
,,,,,,,,,,,,['sentir él bien situaciòn'],,,['accion positivo relacionado decir verdad'],,,,,,['organización determinado premeditado'],,actualidad hacer contrario usar venganza,,,
