acuerdo,agradecimiento,amenaza,ansiedad,compasión,compasión ,culpa,decisión,definición,desesperación,destreza,esperanza,excusa,felicidad,ganancia ,habilidad,honestidad,obligación,obsesión,oportunidad,peligro,pensamiento,plan,razón,razón ,seguridad,sugerencia ,verdad,éxito
['contrato'],educacion,['malo'],sentir apuro hecho pase,sentir él afectado miseria projimo,sentimiento,remordimiento,escoger diferente opción,['concretar'],sentimiento,['presición'],confianza,['forma dar culpa algun suceso'],alegría,generar trabajo,capacidad,honradez,['deber'],fijación mantenido tiempo objeto persona,permitir innovar,situacion tener cuidado,['mente'],['organizado'],logica,['comprension'],['contento'],consejo,contrario mentira,conseguir meta
['pacto'],hacer notar accion favor,['alguien atacar'],inestabilidad,voluntad ayudar projimo problema,perdona vida alguien pelicula,sentimiento hacer malo,exigir compromiso escogido,['fijo'],cosa resultar querer,['habilidad'],fe ir pasar,['fallar'],sentimiento,utilidad,diferenciar persona,actuar acuerdo pensar,['responsabilidad hacer'],poder constituir enfermedad mental,basa éxito negocio,precaución,['idea persona'],['tranquilo'],uso cerebro,['sentimiento'],['calir'],hablar mejora,correcto,ganar
['tratado'],atencion,['decir él persona ir atacar'],desequilibrio interno,relacionado empatiar,bueno,habilidad persona dar él contar hacer erroneo,suceder luego analisis opción,['hecho'],impaciencia,['facilidad'],sentimiento asegurar mejorar algun momento,['inventar sacar él culpa'],contrario tristeza,diferenciar costo precio venta,permitir cumplir meta,caracteristico visto positivo,['deber cumplir él'],provocar desear alguien,problema solcion,situacion evitar,['tangible'],['pensado'],uso logica,['logica'],['comodidad'],hacer mejor,pensar corroborar empiricamente,superar objetivo
['convenio'],notacion,"['solo palabra', 'atacar']",sensacion,acto tratar aliviar sufriemto,empatico,sensación remordimiento ser humano,opción,['solido'],impulsivo,['maestrio'],cosa buena estar venir,['forma mentir cumplio'],parecido alegrio,implicar beneficio individuo,poder ser blando duro,otorgar congruencia actuar individuo,['deber hacer hacer'],obstinamiento alguien,opcion viable actuar,susto,['capacidad humano'],['racionalizado'],división,['analisis'],['estabilidad'],existir empresa negocio libro,realidad pensamiento alineado,felicidad
['pacto dos persona'],sociedad,['rabio'],aprieto,persona,paciente,sentimiento falta luego cometer acto intencionalmente,compromiso,['incambiante'],angustiar,['optimir'],ultimo perder,['argumento justificar actuar'],mucho gente buscar,ir loterio tocar ganador,destreza,ayuda mantener relación saludable persona,['regla'],descontrolado,alternativa poder elegir,sentir él mal,['ejercer cada momento consciente'],['ordenado'],decir correcto,['vida'],['equilibrio'],corregir,real,orgullo
['poder ser verbal escrito'],regla,['intimidación'],angustiar,sentimiento alguien mal,benevolo,responsabilizar él acción,tener opción tener tomar,['constante'],descontento,['impecabilidad'],fuerza motoro cosa estar mal,['justificación'],relacionar dinero,premio,facilidad,persona ejercer considerar confiable,['hecho discusión'],objetivo buscar,chance,atacar,['proceso consumir energiar'],['equilibrar'],,['inteligencia'],['control'],idea transferido persona,carácter subjetivo,honor
['común'],cortesio,['desear negativo hacia persona'],depresion,tratar evitar dolor ajeno,inteligente,sentir responsabilidad malo paso hacer,opción,['invariable'],depresion,['destacado'],tener pensamiento positivo poder suceder,['mal visto sociedad'],corazon,ingreso vender,general,verdadero,['deber cumplir'],cegar él,camino poder optar,sentir amenazar,['culmina formacion idea'],['estrategia'],,['abstraccion'],['vision'],percepcion ser mejor idea persona poseer,poder ser recomfortante perturbadora,llegar meta planeo
['conseguir beneficio menos participante'],amabilidad,['ira'],tension,dos persona,sabio,pena angustiar,preferencia cosa,['dar cosa'],ambigüedad,['habilitado'],querer suceda esperado,['usado justificar mala acción'],dar hacer bien,acto recibir cambio cosa,poder hacer cosa,fiel,['responsabilidad'],actuar irracionalmente,via alternativa,riesgo,['imagen mental'],['conseguir'],,['empatiar'],['sensorial'],intencion positivo fin ayudar,buscado gran cantidad gente,cumplir desear
['necesitar avanzar politico'],bien,['enojo'],estrés,sentir tristeza persona cosa,pacifismo,pedir perdón,pensar tomar,['buscar diccionario comprender palabra'],apuro,['seguro'],tener fe situacion,['empleada gente irresponsable'],ir bien vida,utilidad,opcion,correcto,['realizar compromiso'],querer todo cosa,comprar oferta flash,expuesto situación dañino,['reflexión'],['llegar punto determinado'],,['simpatiir'],['tener espacio'],poder ser respondido manera agresivo receptor,honestidad,relacionar suerte
['generar consentimiento dos postura'],accion dar gracias,['intención impedir'],apuro,empatir,perdon,fallar alguien,determinación,"['entender palabar', 'buscar']",sufrimiento encontrar salida situación problemático,['habilidad'],ser positivo,['idea evitar'],relacionar éxito,riqueza obtener,libertad,caracteristico ser humano,['imponer él alguien hacer'],desear todo costa,merecer segundo,poder salir mal,['mente cerebro'],['idea llegar meta'],,['paciencia'],['concreto'],presentar opción,camino correcto,requerir esfuerzo llegar
['dos país llegar'],contento persona,['hacer sentir invulnerabilidad'],nervioso,colocar él lugar,bien,sensación haber herido persona,aceptar pérdida escoger,['descripción alguien'],suceder ver camino posible seguir,['facilidad alguien hacer'],sentimiento positivo,['mentira'],sensación positivo,liquido,independencia,dar cabida mentira,['deber persona'],forma actuar respecto alguno cosa,opción,tirar él parapante,['relacionado racionalidad razón'],['utilizar empresa'],,['capacidad pensar'],['confianza'],incitar,transparencia,relacionar felicidad
