adición,aguante,aguijón,ajedrez,albañil,alcance,aliento,anciana,aptitud,aristas,arreglo,atuendo,audacia,aullido,balanza,bandera,barbero,barriga,biólogo,bohemia,cadáver,camisón,cantina,capilla,capitán,caracol,caverna,cazuela,cigüeña,conjuro,cosecha,costura,crucero,cáscara,delicia,descaro,detalle,dulzura,emoción,encanto,entidad,entorno,espanto,espiral,estatua,estatus,evasión,facetas,fealdad,felinos,fortuna,frenesí,galaxia,gatillo,granito,hoguera,hormona,huracán,indicio,inercia,influjo,ingreso,intriga,lamento,letrero,levante,llanura,lucidez,lágrima,lástima,madrina,madurez,malicia,mandato,mejilla,milagro,misiles,modales,monarca,montaje,místico,neblina,nitidez,padrino,palacio,palanca,pantano,panteón,parcela,pericia,pistola,planeta,poblado,premisa,pupitre,péndulo,reclamo,reflejo,regreso,reserva,resorte,revuelo,réplica,salario,sanidad,semilla,socorro,solidez,soltura,suspiro,timidez,torpeza,tributo,trámite,validez,vampiro,vanidad,viajero,vinagre,vínculo
función matemático,fuerte,abejo,['intelectual'],leña,ranguir,olor,muerte,facultad,cubo,floral,vestimento,agil,lobo,pesar,hondear,corte pelo,gordo,cientifico,excentrico,carne,pijamar,cerveza,iglesia,líder,lento,antiguo,fuerza,['ave'],hechacer,verde,cocer,vacación,blar,postre,desfachatado,observación,dulce,intrínseco,['mágico'],forma,medioambiente,fantasma,tallarín,conmemora,alto,metro,cara,rasgo,gato,cultura chino,exaltado,['azul'],pistola,chiquitito,fuego,celular,tormentoso,signo,movimiento,influencia,hospital,desconocido,boliviano,cartel,arriba,plano,luz,llorar,pena,madre,fruta,actuar maldad,ley,peca,dios,guerra,educacion,rey,teatro,intangible,poco visión,claridad,papá,castillo,mecanismo,agua estancado,['antiguo'],pasto,acierto,peligro,cuerpo celestar,sociedad,noticia,escritorio,fantasilandia,insatisfacción,espejo,['volver lugar'],guardar,elastico,disperción,['farso'],['recompenso'],sanitizar,planta,ayuda,duro,aguilidad,alivio,personalidad,tonto,homenaje,papel,certeza,chupar sangre,vanaglorio,avión,acir,lazo
inicio,grande,avispa,['entretenido'],madera,proyectil,apoyo,experiencia,habilidad,borde,superación,elegancia,rapir,perro,masa,nacionalismo,apariencia cara,cervecero,naturaleza,creativo,asado,sexo,local,arquitectura,llevar mandar,baboso,orificio tierra,sabor,['traer beb'],pelicular,calor,hilo,fiesta,cubrir,rico,políticamente incorrecto,acertividad,persona,intensidad,['bueno'],claro rosa parte,lugar,miedo,rebote,imponente,burguesia,esquivar,imagen,discriminación,leon,oráculo,pensar,['rojo'],posicion mano,difícil ver,caliente,sustencia,renovador,señal,físico,autoridad,inicio,astucia,tendencia negativo,madera,reconstruir,desnivel,claridad,agua,tristeza,hado,adulto,deshonestidad,regla,cara,divinadad,soldado,educación,autoridad,actuación,hado,nube,vision,responsable,catedral,automovil,vegetación,['filosofo'],amplio,facilidad,bala,tierra,habitante,exclusividad,mueble,magia,enojo,agua,['volver punto'],provisión,fuerza,alborotir,['igual'],['trabajo'],limpiar,relacionado agricultura,peligro,pesado,movimiento,relajación,caracter,tosco,medalla,papeleo,moda,ajo mortal,soberbiar,auto,aceto,nexo
sumar,tolerancia,miel,['complejo'],trabajador,encuesta,respiracion,amor,ganar,vertiz,embellecer,outfit,inteligente,manada,metálico,patria,trabajo,asado,humano,rebelde,muerte,noche,bar,hacer matrimonio,tomar decisión,pequeño,casa,recuerdo,['animal resistente'],demonio,trabajo,maquín coser,comida,sacar,azucar,falso,regalo,azucar,difícil ocultar,['princesa'],poder ser importante,bioma,feo,giro,arte,poder,saltar,aspecto,opinion,leopardo,destino,mente,['aglomeración materia'],disparador,indivisible,muerte pasado,dopamín,caos,huella,reposo,poder,poder ser malo,inteligente,consecuencia situación,información,mañana,valdio,transparencia,pena,llanto,diente,periodo,mentira,regimar,cara,amarillo,peligro,niñez,gobierno,escena,creencia,agua,transparencia,leal,vivienda rey,cambio,baja profundidad,['grecia'],verde,experticia,muerte,cuerpo esférico,comunidad,hipotesis,madera,físico,incumplimiento,realidad,['deshacer trabajo'],responer elemento,energiar,volar,['copia'],['sueldo'],desinfectar,origen fruta verdura,daño,fuerte,elocuencia,tranquilidad,adjetivo,dificultad,estatua,contraro,vigente,crucifijo mortal,orgullo,playa,condimento,conexion
matematica,perseverancia,dolor,['reglamentado'],medio ambiente,transmisión,cantar,comprension,postura,cuadrado,momentaneo,material,atrevir,luna lleno,digital,símbolo,especialista,descuidado,medico,indiferente,necrofilia,mañana,fiesta,profesa religión,llevar rumbo equipo,crujiente,protección naturaleza,preparacion,['viajar largo trayecto'],bruja,herramienta,chaleco,alcohol,lisa,sabroso,mentira,importante,simpatico,necesario,['carisma'],representar,contexto,malvado,infinito,iner tú,anticuado,engatusar,persona,impuesto sociedad,guepardo,poder ser buen,cuerpo,['unión elemento'],acciona,piedra,fogata,insulín,ambivalente,pista,seguir,cambiar forma pensar,poder ser bueno,matar gato,disculpa,publicidad,proceso duro,liso,estorbo,tristeza,lagrima,amor,proceso,hacer malo,dar orden,cachet,resplandor,arma,saludar,poder,representación,fe,humedo,pureza,familiar,edificio lujo,torcar,verde,['monumento'],vivienda,seco,armamento,cuerpo masivo,familia,supuesto,escuela,perpetuo,tristeza,inverso,['hacer camino inverso'],comunidad ecologicar,tensión,confusion,['artefacto'],['dinero'],salud,origen fruta verdura,susto,resistente,relajacion,calma,verguenza,lento,alabanza,pago,actual,poder volar,presuncion,vestido traje baño,aliñar,nodo
mas grande,capaz,picadura,['lento'],hacha,circular,abajo,senil,adaptibilidad,triangulo,musical,pertenencia,valiente,hombre lobo,gancho,asta,cerveza,problema salud,ciencia,liberal,funeral,vestimento,alcohol,cura,responsabilidad,temeroso,murcielago,energiar,['hocico grande'],mago,fruta,prenda,conocer nuevo gente,suave,chef,telenovela,necesario,suavidad,existir,['atractivo'],buscar común,persona rodear,hallowear,marear,requerir trabajo,experticiar,escapar,lado,feo lindo,cazar,azar,motivacion,['exterior'],comenzar acción,duro,calor,esteroid,suspensión,rastro,newton,lider,acontecimiento,enredar,efímero,letra,topografia,planiciar,rapidez,alegrio,debilitamiento,protección,responsabilidad,perjudicar alguien,instrucción,rosacia,levitación,equipamiento,despedir él,riqueza,falso,magia,mojado,resplandor,religion,trabajo realeza,fuerza,mal olor,['reliquia'],cultivo,justicia,diferente tipo,cuerpo orbitante estrella,vivienda,razonamiento,estudio,movimiento,esperar,imagen,['retroceso'],conjunto,metalico,poblacion,['religion'],['estabilidad'],bienestar,pepa,desesperacion,seguridad,spar,respiración,ansiedad,incapaz,altar,escritura,autentico,duermen  diar,engreido,gorro,aderezo,atar
juntar,resistencia,alergiar,['trabajar desarrollo cognitivo'],sierra,lanzar,barra brava,perdido vida,creatividad,line,funcional,moda,firmeza,grito,subir baja,ejercicio,relajación,chavo 8,verde,arte,cuerpo,motel,vikingo,comulga lugar,cuidar grupo,insecto,lugar oscuro,calor,['animal amigable'],magia,verdura,costutera,conocer nuevo lugar,delgado,comida,descart,invisible,ternura,vivir,['mujer'],eminencia campo,alrededor,horror,universo,sello artista,prestigio,salir,paso,horrible,4 pata,impredecible,locura,['incertidumbre'],pistola,difícil tomar solo,madera quemar él,droga,naturaleza,intuicion,gravedad,opinion peso,deribar situación,misterio,triste,palabra,carreta,igualdad,sutil,llorar risa,cabizbajo,elección,edad,actuar mal intencionalmente,estructura,sonrisa,aparición,muerte,respetar,absolutismo,exageración,sobrenatural,blanco,bueno,bendicion,lugar jefe máximo,acceso,diferente tipo agua,['templo'],terreno,penal,revolver,lugar masivo,conjunto persona,afirmacion,lapiz,oscilación,injusticia,visión,['vuelta'],precavido,flexible,persona,['terremoto'],['sustento económico'],cuidar él,comenzar cosechar,terror,robusto,entrenamiento,cansancio,pasar desapercibido,incompetente,ceremonia,firma,valor,sol mortal,pedante,lent sol,acir,enlace
numero,vencer dolor,arma,['apor tú'],bosque,proyectar,soplo,completitud,carácter,palo,buen apor tú,pasare él,arriesgar,cuerda vocal,instrumento,altura,barba,abdomar,colegio,alma,esqueleto,desayuno,barril,pertenecer alguno rama cristianismo,ranguir mayor,cascarón,lugar humedo,carbohidrato,['viajar vandada'],inexplicable,trabajador hora,aguja,mar,protección,salud,verguenza,perfección,agradable,expresar,['cualidad seducir'],mucho persona formar parte,familia,esqueleto,desconocido,trabajo,cualidad,eludir,cambio,monstruosidad,trepar,incontrolable,musico,['desconocido'],poder ser físico virtual,diminutir,peligro,minusculo,espiral,conjetura,fuerza,dominio,principio proceso,suspenso,arrepentimiento,cuadro,edificio,campo,claro,emocionar él,falta energía,especial,vida completo,pecar,autoridad,espinilla,surreal,destrucción,construccion social,subdito,falto veracidad,fenomeno,miedo,buscar,confianza,monumento,facilitar,mal drenaje,['dios'],fundo,actividad,ocupar guerra,mundo,población pequeño,idea,zona confort,pivote,oposición,mismo,['ir paso anterior'],acuerdo,físico,generar partir incertidumbre,['respuesta'],['mensual'],prevenir,partir generar fruto,grito,gordo,labiar,estrés,introvertido,inútil,felicitación,computador,realidad,salir noche,ostentoso,verano,mal olor,familiar
sumar elemento,lucha,filo,['deporte'],verde,tratar ranguir cosa,esfuerzo,ultir dias,psicología,geometrio,orden,alfombra rojo,arriesga ganar,pena,herramienta,18 septiembre,hombre,embarazado,vegetación,estilo vida,pesado,comodidad,vaso,ir persona domingo,deber tener autoridad,mascota,llena agua,proteina,['animal alado grande'],energia,cuidadoso,hecho mano,motor,externo,diabetes,falta empatir,amor,bondad,ocultar vez,['gracia alto'],asociación,compañero,fobiar,ciclo fin,abstracta,poder social,fallo,fase,punto visto,peludo,inciertir,droga,['vida'],poder ser físico virtual,suave,fogón,mente,tierra,sospechar,cientifico,provocar efecto,puerta,desconocimiento,inútil si extenso,anuncio,sol,terreno,despejado,secresión,lento,religión,cambio mentalidad,malo,unidireccionalidad,parte cuerpo,inexplicable,pelea,adulto,mandato,escenografía,espiritual,oscuridad,vidrio,bautizo,maravilla arquitectónico,gata auto,suelo mineral,['arquitectura'],lejano,sabidurio,escopeta,verde,acuerdo vivir junto,antecedente,mesa,giro,equejar,tranquilidad,['volver lugar'],salvaguardar,juguete,provocar caos,['pintura'],['felicidad'],educar él,importante desarrollo humano,panico,duro,habilidad,concentración,silencio,pelmazo,fiesta,banco,util,sociedad secreto,superioridad,descansar,cocina,amistad
agregar,vencer mal,miedo,['requerir tiempo'],cafe,intentar maximizar,denuedir,buen consejo,personal,matematica,reparación,marca,rendir,soledad,venta,país,emprendimiento,pan,naturaleza,filosofia,muerto,camisa,vida social,decoración cristiana,emanar respetar,pequeño,peligroso,alimento,['dos pata'],malicia,alimentación,arte,ingenierio,superficial,mucho vez,traición,imprescindible,sensibilidad,sentimiento,['engaño'],grupo persona,sociedad,pesadilla,mucho vuelta,literal,asimeter,desapercibido,distinto,construccion social,agil,entretenido,delirio,['expansión'],reacción acción,liso,ocupado realizar rito,biología,aire,suponer,movimiento,predominio,controlado,angustiar,pena,mensaje,oriente,area geografico,sobrio,llanto,curvar,fruta,cambio vida,actitud correcto,imperativo,saludo,catolicismo,proyectil,enseñanza,sir,preparación,divino,escás visión,agua,mano derecha papás,autoridad,fisicar,animal,['muerte'],tierra,practicar,arma fuego,vida,servicio basico,sacar conclusión,accesorio,cuerdar,enojo,soledad,['ahí'],anticipar,reacción,desorganizacion,['imitacion'],['poder adquisitivo'],salubridad,relaciono grano,salvar,metalico,nivel,amor,temor,distraido,aplauso,servicio básico,vigente,grande colmillo,creencia,disfrutar,sacar piojo,union
matematica,gimnasia,veneno,['requerir control pensamiento acción'],fuerte,importante enseñanza,resistencia,problema,definir persona,cambio dirección,ajuste,algodón,pensar,comunicación,científico,organización,cafe,comida chatarra,microorganizmos,espiritu,putrefacción,mujer,sabor,lugar oración,deber admirar cierto punto,lento,animal,nutritivo,['ave'],poder,comida sano,habilidad coser,comodidad,nutrient,agradable paladar,remordimiento,chocolate,prudente,gana hacer,['potente'],esencia,zona desarrollo,rechazo,allá,museo,realeza,huir,complejo,burla,escalar,riqueza,rojo,['lejano'],arma fuego,pequeño,madera quemado,célula,peligro,deducir,continuidad,actuar,voluntario,misterioso,malestar,tiendar,punto cardinal,gran extensión,ver claramente,sollozar,papel,naranjar chico,completitud,acción realizado maldad,contrato,beso,desconocido,cohete,modo,emperador,dramatismo,sagrado,sector humedo,pantalla,amigo,poder,auto,naturaleza,['difuntir'],naturaleza,conocimiento,cazar,agua,gente,supuesto,necesidad,circunferencia,sevicio cliente,pureza,['camino equivocado'],emergencia,compressión,desafia  orden,['intento realidad'],['sueldo'],sano,fruto,correr,solo pieza,cadera,paciencia,personalidad,desatinado,figurar,fila,comun,usar capa,imaginacion,conocer,cebolla escabeche,conjunto
