,acuerdo,agradecimiento,amenaza,ansiedad,compasión,culpa,decisión,definición,desesperación,destreza,esperanza,excusa,felicidad,ganancia,habilidad,honestidad,obligación,obsesión,oportunidad,peligro,pensamiento,plan,razón,seguridad,sugerencia,verdad,éxito
43,contrato,educacion,algo malo,de sentir un apuro por que un hecho pase,sentimiento,remordimiento,escoger una de las diferentes opciones,de concretar algo,sentimiento,presición,confianza ,forma de dar la culpa a algo por algun suceso,alegría,lo que genera un trabajo,capacidad,honradez,un deber,fijación mantenida en el tiempo con un objeto o persona,lo que permite innovar,situacion en la que hay que tener cuidado,lo que esta en la mente,necesario para cumplir objetivos,comprension,contento,consejo,contrario a mentira,conseguir metas
44,pacto,de hacer notar una accion o favor,cuando alguien te ataca ,inestabilidad,por lo que se le perdona la vida a alguien en las peliculas,sentimiento de hacer algo malo,exige compromiso con lo escogido,fijo,cuando las cosas no resultan como uno quiere,habilidad,fe que algo va a pasar,falla,sentimiento,utilidad,por lo que se diferencian las personas,actuar de acuerdo a lo que se piensa y siente,responsabilidad de hacer algo,Puede constituir una enfermedad mental,en lo que se basa el éxito de un negocio,precaución,idea de una persona sobre otra,organizar recursos o personas,sentimiento,calido,hablar sobre mejora de algo,correcto,ganar
45,tratado,atencion,decirle a otra persona que lo va a atacar ,desequilibrio interno,bueno,habilidad que tiene una persona de darse cuenta de que hizo algo erroneo,sucede luego de un analisis de las opciones,hecho,impaciencia,facilidad,Sentimiento que asegura que todo mejorará en algun momento,inventar algo para sacarse de culpa,contrario a tristeza,diferencia entre el costo y el precio de venta,lo que permite cumplir algunas metas,caracteristica vista como positiva,algo que debe cumplirse,provoca deseo por algo o alguien,un problema sin solcion es una,situacion que hay que evitar,no tangible,estrategia,logica,comodidad,como hacer algo mejor,algo que se piensa y se corrobora empiricamente,superar objetivos
46,convenio,notacion,"son solo palabras, antes de que atacar",sensacion,empatico,Sensación de remordimiento del ser humano,opciones,solido,impulsivo,maestria,Las cosas buenas estan por venir,forma de mentir porque no se cumplio algo,parecido a la alegria,implica beneficio para un individuo,pueden ser blandas o duras,otorga congruencia al actuar del individuo,algo que se debe hacer o no hacer,obstinamiento sobre algo o alguien.,opcion viable del actuar,susto,capacidad humana,organizado,analisis,estabilidad,existe en empresas o negocios un libro para esto,realidad y pensamientos alineados,felicidad
47,un pacto entre dos personas,sociedad,rabia,aprieto,paciente,Sentimiento de falta luego de cometer un acto intencionalmente,compromiso,incambiante,angustia,optimo,es lo ultimo que se pierde,argumento para justificar un actuar,mucha gente la busca,ir a la loteria y que te toque el ganador,destreza,ayuda a mantener relaciones saludables con otras personas,son reglas,descontrolado,Una alternativa que puedo elegir,sentirse mal por algo,se ejerce en cada momento consciente,tranquilo,vida,equilibrio,como corregir algo,real,orgullo
48,puede ser verbal o escrito,regla,intimidación,angustia,benevolo,Responsabilizarse de nuestras acciones,tener opciones y tener que tomar una,constante,descontento,impecabilidad,fuerza motora cuando las cosas estan mal,justificación,la relacionan con el dinero,premio,facilidad,persona que la ejerce se considera como confiable,no esta hecho para discusión ,un objetivo que se busca,Una chance,atacado por algo,proceso que consume energia ,pensado,inteligencia,control,idea transferida a otra persona,carácter subjetivo,honor
49,algo en común,cortesia,se desea algo negativo hacia otra persona,depresion,inteligente,Sentir responsabilidad por algo malo que paso o se hizo,Hay opciones,invariable,depresion,destacado,tener pensamientos positivos de que algo puede suceder,mal vista por la sociedad,se siente con el corazon,ingresos por vender algo,general,Verdadero ,Un deber que hay que cumplir,Cegarse a algo,Un camino que puedo optar,sentir una amenaza ,culmina en la formacion de ideas,racionalizado,abstraccion,vision,percepcion de ser una mejor idea que la que la otra persona posee,puede ser recomfortante o perturbadora,cuando uno llega a la meta como lo planeo
50,consigue un beneficio para al menos uno de los participantes,amabilidad,ira,tension,sabio,Pena y angustia,Preferencia por algo sobre otra cosa,le da sentido a las cosas,ambigüedad,habilitado,querer que suceda algo esperado,usada para justificar malas acciones ,se da cuando se hace algo bien ,acto de recibir algo a cambio de otra cosa,de poder hacer cosas,Fiel,Una responsabilidad que se tiene,Actuar irracionalmente ,Una via alternativa,Riesgo,Imágenes mentales,ordenado,empatia,sensorial,intencion positiva con fin de ayudar,buscada por gran cantidad de gente,cuando uno cumple lo que desea 
51,estamos de,de bien,enojo,estrés,pacifismo,Pedir perdón,Pensar antes de tomar una decisión,se busca en diccionarios para comprender las palabras,apuro,seguro,tener fe en una situacion,empleada por gente irresponsable,cuando nos va bien en la vida,Utilidad,opcion,Correcto,Algo que hay que realizar por un compromiso,Querer algo por sobre todas las cosas,Comprar algo en una oferta flash,Estar expuesto a una situación dañina,Reflexión,equilibrado,simpatia,de tener espacio ,puede ser respondida de manera agresiva por el receptor,Honestidad,se relaciona con la suerte
52,se necesita para avanzar en politica,la accion de dar las gracias,tiene la intención de impedir algo,apuro,perdon,Fallar en algo o a alguien,Determinación ,"cuando uno no entiende una palabara, uno busca su",sufrimiento por no encontrar salida de una situación problemática,Habilidad,ser positivo,tiene la idea de evitar algo,lo relacionan con el éxito,Riqueza obtenida,libertad,Caracteristica del ser humano,Imponerle a alguien que haga algo,Desear algo a toda costa,Todos se merecen una segunda,Algo que puede salir mal,Mente y cerebro ,estrategia,paciencia,concreto,presentar una opción,El camino correcto,se requiere esfuerzo para llegar a el
