Palabra (concepto),Descripción
Compasión ,sentimiento
Compasión ,por lo que se le perdona la vida a alguien en las peliculas
plan,necesario para cumplir objetivos
plan,organizar recursos o personas
plan,estrategia
Habilidad,capacidad
Habilidad,por lo que se diferencian las personas
Habilidad,lo que permite cumplir algunas metas
Habilidad,pueden ser blandas o duras
Ganancia ,lo que genera un trabajo
Ganancia ,utilidad
Ganancia ,diferencia entre el costo y el precio de venta
Verdad,contrario a mentira
Esperanza,confianza
Esperanza,fe que algo va a pasar
Éxito,conseguir metas
Éxito,ganar
Éxito,superar objetivos
Oportunidad,lo que permite innovar
Oportunidad,en lo que se basa el éxito de un negocio
Oportunidad,un problema sin solcion es una
Felicidad,alegría
Felicidad,sentimiento
Felicidad,contrario a tristeza
Desesperación,sentimiento
Desesperación,cuando las cosas no resultan como uno quiere
Razón ,comprension
Razón ,sentimiento
Razón ,logica
Razón ,analisis
Razón ,vida
Razón ,inteligencia
Razón ,abstraccion
Razón ,empatia
Razón ,simpatia
Razón ,paciencia
Desesperación,impaciencia
Desesperación,impulsivo
Desesperación,angustia
Desesperación,descontento
